participant_id,survey_text
1232,"Consistent, once a month testing of our emergency sirens, not just before potential bad weather."
1216,You can't get a job in this county at a large place of employment if you have OLD DUI's on your record. This is an un-needed punishment!
1224,Lower taxes by auditing every department for total accountability & make cuts where possible. Stop city government waste.
1224,There should be an actual complaint filed by a neighbor before Code Enforcement writes a violation. Stop harassing hardworking citizens.
1216,"The very low number of immigrants coming to our county last year was a good thing. Saves costs: Schools, courts, social services-Our taxes!"
1221,Bowling Green needs a stronger separation of church-mosque-temple and state.
1196,People should not be allowed to bring their pets every place or store they go to.
1200,Bowling Green needs more pet-friendly housing options for renters.
1188,"There should be no punishment for small amounts of marijuana possession, in my opinion"
1183,"Bowling Green needs more cultural and educational establishments, like sciemce, history and art museums."
1181,Require businesses to pick up litter they and their customers generate.
1180,Everyone needs to research (fluoride)...definitely need this to disappear from our water
1171,Louisville rd area needs more businesses and restaurants extending out towards the factories to also bring in revenue from Edmonson Co.
1171,Warren county needs to be more proactive about keeping their county maps up to date of new roads or developments especially online. (Google)
1171,It should be mandatory for all homes/businesses to have visible marking on mailbox and building for their address.
1166,Expand Nashville Rd all the way past Chaney’s & Buchanan park.  Very dangerous area.. very much so for a school area & young drivers.
1165,The LEFT turning light at Nashville onto Dishman & the same for Scottsville onto Lovers Ln.. need to be longer to allow more to go through.
1158,"Need a traffic signal on Cave Mill in front of Natcher School, operating 8-9 AM, 3:30-4:30."
639,"We need to SHADE street lamps. This actually increases visibility, reduces glare, and saves energy/ money. Using LEDs would save money, too."
1060,Local companies that can't fill job openings should recruit from parts of KY w/ high unemployment & pay relocation expenses.
1060,Companies that claim they cannot fill job openings should raise wages and improve working conditions.
1060,Local companies that can't fill job openings & the Workforce Dev't. Board should set up commuter lots and a shuttle service to rural areas.
1060,BGDN should publish each month the number of job positions filled / people employed through the Workforce Development Board’s efforts.
1060,"Bowling Green should consider a program, like Ft Worth Texas's Clean Slate, in which the homeless can earn money by cleaning up the city."
1060,BGDN should publish these BGPD stats weekly – 1) traffic citations 2) vehicle accidents reported; 3) traffic accidents resulting in injury.
1132,The city & county school districts need to be re-evaluated The yards/houses that touch Potter Grays playground r all County school districts
1123,animal cruelty laws need to exist and be enforced
1123,fines for leaving dog feces in public areas needs to be enforced
1123,there should be a tenant/landlord grievance department with legal assistance
1123,Wal-Mart and Kroger grocery pick-up should have to accept EBT for the elderly and disabled
1123,we need transit buses for elderly and disabled in the county and they should be easy to enter and exit/wheelchair accessible
1123,apartment complexes should be required to participate in recycling program
1123,the Bark Park needs more trees and water access for the smaller dogs area
0,Farmers shouldn’t need a permit to build a fence.
0,Planning and zoning laws should change to encourage small businesses and farms.
1111,City Annexed areas need more city services for their tax $$.
1099,"Whenever land is bought by the city/county, the seller and amount sold for needs to be transparent, rather than “LLC” as listed seller."
1099,"We need well planned service roads, instead of so many driveways directly on streets like Campbell Lane and the By pass."
1101,We should have a commuting service between here & Nashville.
1069,Fireworks use in residential areas is out of control with no police presence to enforce the already in place restrictions.
1068,Parking  on both sides of the streets  in apartment subdivisions should  should not be allowed  and police need to enforce the law.
1068,Parking in apartment subdivisions  should monitored closely by police. Parking on subdivision streets shouldn't be allowed.
1053,Owners of large parking lots should be required to break them up with pockets of green space and trees; perhaps create a walkable green path
1063,Make Scott Waste follow their contract - Return trash cans next to the house and not leave them on the sidewalks.  Keep BG clean!
0,Schools should provide an opportunity for nonswimming parent/guardians to have water safety and swimming lessons in private setting.
0,Water safety and swim lessons to all k-12 students.
1050,Building codes prohibiting trophy houses next to common housing
1050,We  a true junior college which offers credit / non credit courses like many other states from basket weaving to cyber security
1045,Greenwood Mall parking lot could become a cooperative solar collection for itself and home surrounding
1045,We need a 6 day a week farmer's market that is open at least 5 hours -
1053,"Legalizing marijuana at the state level could produce substantial tax revenue, but if only BG did, it would cause problems."
1050,Connect business parking lots to reduce unnecessary traffic on main roadways
1053,"Higher education is intended to help young people develop into informed, well-rounded citizens who contribute positively to society."
1053,Animated digital business signs are a road hazard. They distract drivers.
1045,All new and existing sidewalks should have shade trees
1050,Indoor swimming pools for public use and therapy year around without time restrictions due to special swim leagues. Encourage healthier life
1053,"Highway exits spur development, which would likely lead to undesireable suburban sprawl."
1050,Bowling Green  has been monopolized by Houchens.  Limit their growth they own too much of the city for it to be fair to other businesses
1050,Recycling should be encouraged by not charging for the service
1045,"We need to replace ""Room at the Inn"" services with temporary decent housing connected to aid agencies for the homeless"
1045,Every citizen should be within 1 mile of some shaded green space.
1045,Every new apartment building should have shaded parklike space for refreshment of its tenants
1045,We need to carefully preserve agricultural land
1050,"Better enforcement of traffic violations. Too many running red lights, parking in fire lanes, cell phone usage while driving"
1045,The travesty going up on Fairview Ave. should never have been allowed
1044,Better public transit and runs 24 /7 so people without cars can get to work. Also more stops added in residential areas.
1044,Minimum wage needs to go o $15 per hour
1045,All new and existing single family housing should have at least one shade tree planting
1045,Shade trees should be required plantings along all Greenways
1045,We need more incentives for individual and business solar power
1043,Urban sprawl in Bowling Green is a major problem that has made this city less walking/bike friendly.
1047,Increase Internet/Cell/Phone service throughout the county.  First deal with areas that currently don't have any option.
1045,No business should get tax credit without paying  workers at least $10 per hour plus benefits that would increase that to minimum of $15.
1033,Tuckertown area needs fire protection. Currently rated Class 10 expensive insurance. Water lines are close by on Otter Gap & Tuckertown Rds.
1033,County needs to extend water lines in Tuckertown area. About a dozen homes don't have county water or fire hydrants!
1036,I should be allowed to plant flowers in my own yard where ever i want them.
1036,Too much money is spent on making sure we cut our grass and don't park in the yard.
405,BG can’t compete with Nashville or Louisville for young professionals
405,Please increase more family friendly activities
1015,City officials need to work with WKU admin. to address the noise & public nuisance problems with the frat houses and homeowners downtown.
1015,Need to build wider access roads into the city!
1010,"Don't waste $800,000 of tax dollars for a fountain in Lamkin park. Residents would be better served with educational programs for the youth!"
1010,Reduce and/or get rid of the city wage tax.
1010,Build more roads!!! Traffic is terrible here for a small city.
1009,"Need comprehesive probation rehab programs - include addiction treatment, life & job skills & ideas securing housing, training/job etc"
1001,Overdevelopment of rental property is detrimental to cities.  Renters do not pay property tax.  Schools suffer when the tax base is eroded.
1009,"Require 4 yr HS lifeskills class, how to: family finance, file tax, repair/maintain car, repair/maintain home, cook/sew, apply/interview job"
1001,We need a fiber option for internet.
0,There are large fees with the few currently available indoor pools.
999,When the city tears up lawns with projects they should be required to do what it takes so that lawns are same quality they were before.
646,"I see a lot of folks with expired tags on cars, both in state and out of state. Police need to enforce the laws and write more tickets."
646,install traffic cameras and enforce running of stop lights. more traffic enforcement means more $$$ for the city.
646,Police do a shameful job of enforcing traffic laws. more tickets = more compliance and more $$$$$.
646,"Either do the speed limit or get over to the right, to many SLOW, out of county drivers clogging up the roadways."
646,"people need to understand that a STOP sign means STOP, not just slow down and keep going."
166,Oversight committees for projects such as TIF. Elected officials should not be able to sit on unelected boards.
901,Regulate the size & brightness of business signs.
277,"Plan for people, not cars. Walking should be enjoyable, not a hazard."
0,Consider asking low-income or disabled residents what they really need.
0,Build parking areas.
0,Create pedestrian-only streets.
892,A fresh food grocery store to be built in Delafield and Morgantown rd areas within walking distance of residents.
881,It should not take 3 months to get a gynecologist appointment in this city.
881,Traffic and toxic vehicle dependency should NOT be a topic of priority for this city.
881,We need mixed-use development in the most disadvantaged areas of BG.
881,We need more mixed-use developments so people live closely to all basic needs. Mix business and residential zones and increase walkability.
865,Term limits should be initiated on county executives.
860,Affordable supports for the elderly and aging population are needed in our community.
858,Reducing poverty will enhance the quality of life for everyone in our community regardless of status.
854,many parts of the By-pass can and should be widened
851,There should be more opportunities for the arts and sciences in the Housing Authority so the students there can rise above!
842,"Need new schools in Warren County to keep up with population growth, CTE is falling down, Drakes and Greenwood high are way overcrowded"
839,Apartments for 55 and older that are upscale and lovely.
838,"Bowling Green needs more indoor sports facilities, particularly a large complex with multiple indoor soccer fields, for youth."
820,"BGMU needs to offer residential fiber internet as a UTILITY, using Chattanooga as a perfect example."
771,Public school could do alternate teaching styles(like Montessori) in a school within a school set up.  Not all kids learn the same way.
771,High sugar items like pop tarts and chocolate muffins should not be a part of the public school breakfast menu
771,some children with cultural differences or dietary needs cannot eat a typical lunch at school please provide special diet options.
0,Emergency protective orders should not be able to be obtained regarding claims of an incident from a year ago.
796,Too many apartments in Plano. Nice little country setting I bought my home in forever ruined!
788,The intersection of Scottsville road and entrance to Greenview Hospital needs to be widened
785,"Mandatory, expensive fines should be implemented for littering and illegal dumping."
769,BG police should improve officer training and should be held accountable for abuse of power.
762,"A senior living community, designed for 50+ residents rather than 75+ & in failing health residents, is needed — and apparently ignored."
771,Should be an interstate exit for the Woodburn area it could help decrease BG congestion and let people bypass BG all together
770,There are no public adult swim facilities in Bowling Green for year around physical use. The Lovers Lane Complex should be made available
754,The rental market prices are well beyond an affordable housing level and needs to be addressed given the number of renters in BG.
756,BG needs an indoor tennis option
746,"BG needs to install traffic cameras that help police intersections like Gallatin, TN.  This would reduce accidents, traffic flow and add $"
746,Allow residence of an area to vote on new developments that might have impact on them opposed to commissioners/magistrates getting kickbacks
726,Temporary housing for the homeless in the community.
709,Bowling Green needs an indoor / outdoor sports event complex/
706,"Bowling Green would be better if it didn't have the ""Good Ole Boy"" system among so many."
690,City residents do not receive adequate return on County Taxes paid.
690,"Five lane Cemetery Road from Interchange to By Pass, except four lanes through the Cemetery with median prohibiting left turns."
632,More parking downtown.  There are too many reserved spaces which should be available in the evening.
1470,Legalized Marijuana will not only assist Bowling Green in earning Tax revenue but will decrease the strain on our prison system. Win-Win.
1469,The speed limit on WKU campus should be increased from 15 miles per hour to 25 miles per hour.
1456,Provide a food assistance program for college students as students lots of times do not qualify for food stamps due to living on campus
1464,Birth control should be an OTC drug- access to it in Kentucky and in Bowling Green is limited for many women.
1451,"If people are suggesting more advertising for tourists, there needs to be things for tourists to do."
1463,"We need more regulation of opioid drugs, both prescribed and illicit."
1457,"Promote access to mental health treatment, rather than treating addicts as criminals."
1464,"Sex education should include information about consent, safe sex practices, and STD spread and prevention."
1456,We need to offer free full panel STD testing to students and low income families
1456,"We need more Community Farming Programs(where you pay farmers money up front and during harvest you get fresh fruits/veggies, eggs, etc)"
1461,"There should be more cooperation between WKU and Bowling Green, especially for things like internships and community involvement."
1463,There need to be harsher punishments for WKU campus rapes/sexual assaults.
1464,"In order to combat teen pregnancy and STD rates, high schools in Bowling Green should offer comprehensive, medically accurate sex education."
1451,"We need more activities/places to go for teenagers; basically all there is are places to eat, the mall, and the bowling alley"
1465,City schools should be redistricted to more evenly distribute the kids.
1453,"There should be more effort put into teaching students about any potential harmful side effects of drugs, illegal or otherwise."
1454,The bypass area must be developed and utilized for new businesses and attractive structures. It is a neglected area that is losing business.
1455,There should be a push to improve mental health awareness and availability in Bowling Green.
1460,Educate high schoolers on their options after they graduate
1454,The area of downtown and the riverfront should continue to be developed for entertainment and recreation for both day and night activities.
1449,More creative learning classes
1457,Schools should offer more comprehensive sexual education to help lower STD and teen pregnancy rates.
1459,"We need to renovate the run down businesses and store fronts, instead of building new places"
1448,Sewer should be required to be run to all new subdivisions and cost should be split between city/county water systems and builders
1433,More green spaces. All of our parks have just become sports complexes!
0,I should be allowed to keep my yard & home in any manner I please.
0,Make areas around WKU's campus livable for college students. Eliminating section 8 housing will lead to less crime & lower cost of attendance.
1371,A way to improve Bowling Green and the surrounding areas is to improve traffic flow & circulation by limiting the number of traffic lights.
1367,Free WIFI in certain areas - particularly around Fountain Squre
1357,Drivers tests in BG should test over the rules of a turnabout.
1354,Better parking around the square would draw in more college students who like to shop but can not find parking downtown.
1345,More local produce should be incorporated into public school's lunchrooms
1357,Drug information classes should be given to incoming freshmen of WKU to educate them about the risks and health hazards.
1354,There needs to be better access to grocery stores and restaurants from WKU's campus.
1345,All public schools should have an adequate summer feeding program so no child goes hungry.
1356,Arts education should be available in every school in Warren County and other surrounding areas.
1344,"Public school systems need to provide more funding for art education programs, such as music, theater, and visual arts."
1356,Resources to better integrate immigrants and refugees into the community should be put into place.
1357,Parking on the WKU campus should be more accessible to students and visitors.
669,"NO to the ""Fairness"" Ordinance. Current law is sufficient.  ZERO reported instances where LGBTQ people have been discriminated against in BG"
641,Recruit and retain the best k-13 teachers graduating from WKU
666,Vaping should not be added to the smoking ordinance.
0,Smoking should not be allowed in public parks.
0,Smoking should not be allowed within 25 feet of a business.
653,The city of Bowling Green should enforce their existing noise ordinance.
652,"More sidewalks would be great, but first let’s stop people parking on them.  Or stop spending money building them.  Whichever."
639,Institutionalize racism is alive and well here. I know because I have experienced it first hand. We need to have a plan.
0,The Smokey Bones entrance off of Scottsville Road is extremely dangerous and needs a traffic light.
620,"Bowling Green is an excellent place to raise a family, shop, worship, get an education, and recreate. I feel safe in most places here in BG."
618,Too many trees have been torn down to make way for new developments. We should re-plant more trees around Bowling Green.
0,Junking up highways/roadways with signs should not be the primary way tourism is promoted.
581,BG Parks needs more funding  from City
581,"City School taxes are too high , they need to budget more"
0,"Trick or treating should last longer after dark. Many decorations don't show til then. Also start later, parents can't get home in time!"
0,"There should never be a leash law in the county - neighborhood dogs protect, play with and teach kids. It was a factor in living in county."
0,"An unmanned trolley system, possibly solar, might be better long term than buses for some areas."
240,I wish we had train service to Nashville
240,I think we have enough restaurants.
240,Casinos. Bring them here.
240,We need an NBA team. I think we should put the arena where the airport is. Think about it.
0,"Houston ""courtesy police"" maintain safety on access rds enforcing right of way & parking/litter rules, assist traffic flow - we need!"
577,The airport should be moved to the transpark.
36,"One should not be able to literally ""buy"" their way into ability to vote in an election in a locality they do not live in.  $ don't buy vote"
0,"Extra police, or parking enforcement unit should be on duty during events to maintain legal parking"
568,Take advantage of the wonderful summers in KY and have more outdoor public swimming spaces
0,"Multi-use sidewalks should have fixtures for skateboards, bikes like small ramps etc."
0,"Make all future sidewalks wide enough for multi-use (walking, biking, skateboarding etc)"
566,"People want it all, without paying for anything. A healthy community requires taxes people."
462,"Some county roads, such as Hammett Hill Road, are so narrow it's hard for two cars to pass. Surely they could make them a little wider."
540,city needs to work on water run off when we have a lot of rain.. to many places flood on roadways makes driving very dangerous..
536,"With drug use being so prevalent in Warren county, better treatment options need to be offered."
525,Most drugs except meth should be free & government controlled. See Belgium.
452,Some of the roads in the city are not wide enough to put sidewalks in but they do anyway catherine dr is ridiculous
493,Local fuel prices need to investigated.
493,Refugees should be required to learn and speak english.
493,WKU should consider building a parking structure at the Chestnut St lot.
493,The Bowling Green/Warren County Airport needs to be relocated outside of the city limits.
493,The Barren River water front needs to be improved on both sides of the river and include  canoeing and kayaking water features in the river.
493,Bowling Green is in need of an ice rink for recreation and sport.
493,Traffic congestion on Fairview Ave and Cemetery Rd needs to be improved during evening rush hours.
492,Footbridge from airport to across the street. Pilots running across the road.
492,Go to underground utilities. Scottsville rd and the by-pass look awful.
491,Local food and small farms are one of BG best attractions.
491,"BG can link/support hotel/food, recreational/cultural venues in a Tourism Passport, giving discounts when at least 3 are purchased together."
487,Bowling Green needs ev car charging stations. There are none available unless you own a Tesla.
0,Recycling centers should be moved out of town.
0,There should be more officers observing intersections.
474,"I feel Bowling Green could benefit with an additional ambulance service.  Quicker response, and possibly a lower payment when used."
476,Work needs to be done on improving litter pick up and encouraging people dispose of their litter correctly.
210,competition for cable companies and an end to heir price gouging.
460,"Recycling services need to be expanded & improved. With growing population, think of how much land will become dump sites...Ridiculous!"
460,"Planning & Zoning need to do a better job of listening & working with residents. It's not next to their house, so they don't care!"
462,Parking lots should be monitored to prevent illegal parking in handicap spaces.
460,The money I earn & spend is all done within the city limits but as a county resident I have NO voice/vote in city politics. Needs to change!
443,"There should be something a work farm for local prisoners to learn to tend gardens, take care of livestock, and learn to be more useful."
8,Our city should make a bid for Google Fiber to help compete with Spectrum and AT&T.
8,"There are intersections such as the access road along Scottsville that to be reworked, possibly into roundabout or similar designs."
456,Spectrum should have competition and not a monopoly. Rates should be regulated by city county government
453,"If we cut a major program, WKU would lose in the revenue the program brings in, ultimately costing more money."
437,parks and rec should promote and support pickleball for older citizens
434,The entire bypass area is an eyesore and there needs to be a concerted effort like a TIF to revitalize this crucial part of town.
439,Bowling Green should try to emulate Owensboro's Friday night programs downtown.
428,"Driving in this town very dangerous, Drivers Education classes should be required for all new drivers!!!"
411,Many drivers fail to stop as traffic lights turn red.  As many as 3 cars will travel through an intersection after light has changed to red.
413,The feeder road at Shive Lane and Scottsville Road need to be closed off. It is very dangerous.
410,New developments should help pay to widen the roads in the areas where they are increasing traffic.
0,city officials might look into layoff practices on jobs in bowling green ky
0,if there was a law for employers to pay back on bad layoffs and cutbacks
0,Bike lanes that are wide enough to safely ride on without fear of being hit by passing cars.
403,"We need urban planning to ensure that mixed use housing, shopping and new neighborhoods are created to make our community better"
402,"I hope BG can one day link the short, scattered bicycle paths."
372,big projeck in city sould be vote by people
393,Job training programs for lower income
393,Encourage connection between the wealthy and the poor
393,More public transportation options--be creative
393,Higher minimum wage
393,Improved businesses such as banks and groceries in lowest income areas
393,Arts-based charter schools
393,Post-secondary training programs for special education students.
393,More technical education programs for non-graduates of high school
393,Rental assistance programs
323,Busy roads like the by pass either need turn lanes or block left hand turns except at stop lights.
387,BG needs more Summer weekend festivals/activities
380,"Make it a walking city. Sidewalks along the main avenues (scottsville rd, campbell ln, 31 bypass) with plants, benches, art pieces."
277,"When you prioritize the safety of people over automobile speed, all kinds of positive things happen. #slowthecars"
365,"Shopping should be spread across all four corners of the county, so the traffic on Scottsville rd and Campbell lane will be improved."
0,Some local doctors order too many tests.
210,"With jails crowded, it seems many are first time offenders of crimes that hurt no one, nor property. Seems rehab would be better."
360,Develop a manufacturing Work training program for jail inmates that qualify
8,"Funding and support should be given to the existing BG buses, to expand their service area and improve accessibility."
8,"Rental property taxes should be reduced for private landlords to encourage them to develop more, as opposed to large ones like Chandler."
8,"We need to focus more on the existing housing in BG, including renovations and improvements."
345,District judges are biased towards large local companies to the detriment of individuals.
0,Invest in the youth.
0,Actually teach HS students useful things.
36,7% of Paker-Bennett &  3.7% of Bristow homeless. I will pay 6 cents per $100 income to end homelessness for school-age families via Apt. $
36,"City had 109 homeless students in 2017, County Had 112.  Housing those families temporarily is worth raising tax rate from 1.85% to 1.91%."
323,I would love to see a Texas Roadhouse in Bowling Green
329,Bowling Green has many excellent non-public schools; more should be done to make these options available to diverse and low-income families.
329,"The Fairness Ordinance, as currently proposed, poses insufficient protection for religious conscience and should be revised accordingly."
189,Internet services should be a public municipality.
323,We need to grow the internet infrastructure particularly in growing areas of the county like Alvaton.
323,We need to block left turns on the busy parts of the by-pass so people don't block everyone else trying to turn.
323,The WKU Nursing Program should be expanded so we have more nurses
322,Rent is too expensive inside the city limits.
290,"Develop the Greenway so that the paved trail is continuous and reaches major parts of the city including the square, WKU, GM, and others."
